Response ID,Time Started,Date Submitted,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, was $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",,I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,What have you learned about teamwork from BizWorld?,What have you learned about leadership from BizWorld?,What advice would you give to a new student about to begin BizWorld?,What have you learned about managing money from BizWorld?,Score
3617,1/30/2015 11:37,1/30/2015 11:45,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,Working together is better than working on your own.,To not try to do everything on your own because you have others to help you and they can take some of the pressure you're having away.,Make a plan. ***,To make sure everyone is ok with what you do with your money and manage it well. ,72
3618,1/30/2015 11:37,1/30/2015 11:48,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Make the product quickly and with limited waste.,All of the above.,,4,4,4,5,5,5,4,4,3,5,4,5,5,5,3,5,"I've learned that working in a team is much harder than I used to think, but I've also learned that it most usually pays itself off.",I've learned that if you're not doing your job than someone else is going to come in and take it upon themselves. I've also learned that if you're good at your job than your team will appreciate it.,"Always listen to your group, pitch in, and make work a modern instinct.","I've learned that if you don't make enough, take care of, and assure the quality of your product,then you won't make very much profit",90
3619,1/30/2015 11:38,1/30/2015 11:47,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,4,5,4,4,4,4,4,5,4,4,3,4,3,4,You need to work together to accomplish a big objective. ,"in order to accomplish a team goal, you need leadership.","You need someone to lead, and in order to get a profit you need to work as a team.",You need to spend the least amount of money as possible in each stage,100
3620,1/30/2015 11:38,1/30/2015 11:51,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,I have learned about teamwork from sports but this is having a small group where you have to work together to get things done.,That leading or helping lead is not always an easy job. You always have members who don't work hard or goof around.,If you are the CEO keep your group quiet and calm. If you are not help the CEO by being quiet or telling others to. They have a hard job and you have to listen to what they say.,I have always kept my personal money managed. But this you have real expenses that you must pay. ,81
3621,1/30/2015 11:38,1/30/2015 11:46,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,4,5,4,3,5,4,5,5,3,5,4,2,5,5,4,4,That teamwork will make you acheive goals in life,That people wont listen to you,make friends with your crew,dont blow it all,72
3622,1/30/2015 11:38,1/30/2015 11:47,United States,Cookeville,TN,38506,Cookeville,Tennessee,other,11,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Cash on hand.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,2,4,3,3,4,3,3,3,3,3,3,3,3,3,4,Everyone should work together,Listen to people.,Collect as much money as you can.,Keep it safe,72
3623,1/30/2015 11:38,1/30/2015 11:51,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Caucasian,It earned the most revenue during sales,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,5,4,4,4,4,3,5,5,5,4,5,4,4,4,It helps in the real world.,It helps you make decicions,You will have a hard time with teamwork and leadership but you will get done.,It will help you if you entraprenuer,90
3624,1/30/2015 11:38,1/30/2015 11:52,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Decide how the product will look.,All of the above.,,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,That if we don't work together the company doesn't turn out to well.,You have to have a strong leader or CEO so people look up to (him or her).,You group needs to work together so that everything turns out good.,If you don't manage it well you'll lose track of how much money you have and don't have.,90
3625,1/30/2015 11:38,1/30/2015 11:49,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,3,4,3,5,4,3,4,3,3,4,4,3,4,3,3,3,Teamwork is most of the time necessary to get a business running.,I am an awesome leader. That's what I learned.,Make your bracelets cheap and without much materials.,You have to have someone to hold the money an write down expenses.,90
3626,1/30/2015 11:38,1/30/2015 11:52,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,4,3,4,4,5,3,4,5,4,3,5,5,4,5,It is important that everyone works together and to share and consider others ideas.,A good leader must discipline and gain the respect of the group.,Work together but make sure you have a say in everything and don't let some members of your group try to control your actions.,Take into account what the better deal is.,100
3627,1/30/2015 11:38,1/30/2015 11:52,United States,Cookeville,TN,38506,cookeville,Tennessee,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,5,4,5,4,4,3,4,4,4,2,4,4,3,4,if you work together things will get done faster,it helps grow character ,                                                                                                                                                  it is tough,make decisions based on wealth,100
3628,1/30/2015 11:38,1/30/2015 11:47,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,3,4,4,2,4,4,4,3,4,5,4,4,4,3,2,4,That your gonna need more then one person if you start a company.,Leadership i important.,Don't mess up.,It's important to have a record of all the income and stuff that you have.,100
3629,1/30/2015 11:38,1/30/2015 11:48,United States,Cookeville,TN,38506,cookeville,Tennessee,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,5,5,5,4,5,4,4,5,4,3,5,4,1,5,yes,yes,dont do it at all… it is not very fun or creative  ,yes,90
3630,1/30/2015 11:38,1/30/2015 11:56,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$4 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,4,5,4,3,4,5,5,5,5,5,5,5,3,5,it is very important if you want to actually get stuff done,i am a good leader ,its tough sometimes but fun,managing money is important ,72
3631,1/30/2015 11:39,1/30/2015 11:49,United States,Cookeville,TN,38506,cookeville,Tennessee,6,,Male,Asian/Pacific Islander,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,5,5,4,4,5,5,5,4,4,5,4,2,5,If you have a business and you don't cooperate you really cant make a lot of progress.,"if your CEO is a worthless piece of your company.you sometimes have to take matters into your own hands.me and my friend decided to have a company where everybody is equal after that ,our CEO shaped up(very slightly)",teamwork is virtue you really need to embrace without teamwork your company is good for nothing.,it is a very important part of bizworld and you need to keep track of your money.,90
3632,1/30/2015 11:38,1/30/2015 11:48,United States,Cookeville,TN,38506,Cookeville,Tennessee,6,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,3,2,3,4,2,3,3,3,3,4,3,3,4,4,2,4,That with out it it would have been a disaster.,That it takes a lot of guts to be the manager. You have to be able to say no.,Give it the best you got and try to compromise.,Its hard.,100
3633,1/30/2015 11:39,1/30/2015 11:51,United States,Cookeville,TN,38506,cookeville,Tennessee,6,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,All of the above.,,5,5,5,5,5,5,4,5,5,4,5,5,5,5,3,5,to work as a team to get the job done,to tell people what to do,teamwork,to save it if you have it                                                                                                                                                                                                                                  ,81
3634,2/2/2015 11:59,2/2/2015 12:15,United States,Alexandria,VA,22301,Alexanria,Virginia,6,,Female,Other/Multi-Racial,It sold all it's products,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,All of the above.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,4,3,3,4,3,3,3,3,4,4,3,3,3,3,2,4,i have learned that when you work together you get the job done and its faster ,that you need to lead well and if you dont then your not succeding very well,try to make as many products as you can because kids theses days just want to grab everything that is cool,that  you need as much money that you can cause you never know when you need more supplies,63
3635,2/2/2015 11:59,2/2/2015 12:13,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,3,5,5,3,3,5,4,4,5,4,4,2,4,1,2,to work with outer people.,to make sure that the people are doing work good.,make sure you take good care,to not just spend money for knowthing,90
3636,2/2/2015 11:59,2/2/2015 12:13,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Female,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,2,5,4,5,4,3,5,5,5,3,3,5,5,4,5,That teamwork and knowledge of math is very important in a company.,"That to be a leader you have to listen to everyone's side of something and to be able to compromise, as well as being able to look at the pros and cons before making a decision that will effect your group. ","That you have to be open-minded about things. You might not like things, but you should try it anyways.",I learned that you HAVE to keep track of all your finances and to be careful about what you spend your money on.,100
3637,2/2/2015 11:59,2/2/2015 12:16,United States,Alexandria,VA,22301,ALEXANDRIA,Virginia,6,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,All of the above.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Profit.,Introduce your customers to your logo and slogan.,Promote the product to your customers.,The quality of the product.,,4,3,4,4,4,4,4,4,3,4,3,3,4,3,1,4,Teamwork is important ,working together ,how to do things,counting ,36
3638,2/2/2015 11:59,2/2/2015 12:18,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A promise to repay the loan plus interest.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Promote the product to your customers.,All of the above.,,4,5,4,5,3,2,5,3,4,5,5,3,4,4,3,5,"I have learned that working together can appear a challenge at first, but then once you get to know your fellow employees, you can work together better and get along better.",I have learned that leadership is important when you are in charge of leading others. You need to be confident when you want to show the other workers your ideas.,I would tell the student to lead confidently and remember to speak up when you have an idea.,I have learned that keeping a financial record of your income and expenses can be very important in a business.,81
3639,2/2/2015 11:59,2/2/2015 12:16,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$5 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Introduce your customers to your logo and slogan.,Make the product quickly and with limited waste.,All of the above.,,5,5,4,5,4,5,5,4,5,3,5,4,4,3,3,5,teamwork is a powerful thing working all together helps you a lot it helps you come up with a compromise.,leadership is all about making the right calls if don't do the right thing it can end up in bad things it is mostly about responsibility,to go in to the right crowed because the bad crowed can corrupt you,to keep track or else you will be broke and have no money and your business will not be successful  ,63
3640,2/2/2015 11:59,2/2/2015 12:15,United States,Alexandria,VA,22301,ALEXANDRIA,Virginia,6,,Female,Black/African-American,It sold all it's products,Give the bank shares of stock.,$9 ,A portion of company products and services.,You can prevent your company from losing money.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Profit.,Make sure your company has the best commercial.,Promote the product to your customers.,The quality of the product.,,3,3,4,5,5,4,4,5,4,3,4,3,3,5,1,4,importing ,its helpful,have fun,money is importing to life,9
3641,2/2/2015 11:59,2/2/2015 12:25,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Male,Hispanic,It sold all it's products,Just repay balance of the loan.,$4 ,Decision-making power for product design.,You will be able to calculate your company's profits.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Capital.,Demonstrate why your company and its products are special.,Sell the product to your customers.,The quality of the product.,,4,2,4,4,4,2,2,2,4,4,3,4,2,4,5,2,aser los  trabajos de la  cop0ania,aprendi  a serovediente,bien echo   ,comprar  computadora ,0
3642,2/2/2015 11:59,2/2/2015 12:14,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,2,4,5,4,4,3,4,5,5,3,4,5,3,3,4,working together helps,you have to command people what to do if they are not listening,share your ideas with other and stay focus,Keep profits high and expanses low ,100
3643,2/2/2015 11:59,2/2/2015 12:16,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Male,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,5,5,5,5,2,3,4,5,5,4,4,3,4,4,"Well, i learned that teamwork is a great opportunity to share your ideas.  ",Leadership is not only being the boss of team in fact its about how you lead the team. ,To contribute their team.,Not to spend all money or waste the money.,72
3644,2/2/2015 11:59,2/2/2015 12:15,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,4,"I learned that one person cant do everything, she/he will need help.",I have learned that leaders have to keep their team on task and will face more consequences than their followers.,I would tell them to contribute to their team and not to break off from the team.,You must manage money carefully and act like its real money.,100
3645,2/2/2015 11:59,2/2/2015 12:15,United States,Alexandria,VA,22301,Alexadria,Virginia,6,,Male,Black/African-American,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Capital.,All of the above.,Decide how the product will look.,All of the above.,,5,4,4,5,3,4,4,5,4,5,4,3,3,5,5,5,if you work together you get the job done,i learned that it important for someone to lead so they can keep the business together,work together,you need to use your money wishle ,45
3646,2/2/2015 11:59,2/2/2015 12:19,United States,Alexandria,VA,22301,Alexandris,Virginia,6,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Decide how the product will look.,All of the above.,,5,3,4,5,4,4,5,5,4,5,4,3,4,3,3,4,I have learned that teamwork is what you need when it comes to business. ,I have learned about leadership is that you need to be responsible. ,To be a leader and listen to others when they are talking also stay focus.  ,i have learned to be organized and be responsible  ,63
3647,2/2/2015 12:01,2/2/2015 12:16,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Female,Other/Multi-Racial,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Cash on hand.,All of the above.,Decide how the product will look.,All of the above.,,3,5,2,5,5,2,5,5,5,5,4,1,5,3,4,2,I learned that I cannot be in control all the time. Also you have to compromise when you work in a group.,I learned that sometimes you should be smart about who you choose as a leader.,Teamwork always makes a company better. ,"It could get hard at times, but when you calculate it and take your time also organize your product it will become easier.",45
3648,2/2/2015 11:59,2/2/2015 12:24,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Male,Hispanic,It sold all it's products,Just repay balance of the loan.,$4 ,Decision-making power for product design.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,The amount of time it took to make the product.,,1,1,3,5,1,3,3,1,5,3,5,2,5,2,2,4,apredi aser nuebas cosas ,aser educado,que fuera estudiante,comprar,9
3649,2/2/2015 11:59,2/2/2015 12:14,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,All of the above.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Decide how the product will look.,All of the above.,,4,3,4,5,3,5,4,4,2,5,4,5,4,4,3,4,That teamwork is important and you should work with a team to get things done faster.,"Leadership you need to be responsible, hard working, and focused.",Stay focused.,I learned how to begin a successful business.  ,63
3650,2/2/2015 11:59,2/2/2015 12:20,United States,Alexandria,VA,22301,ALEXANDRIA,Virginia,other,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$9 ,Decision-making power for product design.,All of the above.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,All of the above.,,4,2,4,5,4,4,4,3,3,4,5,4,4,3,4,4,NADA PORQUE  SOLO NEMIAS I YO TRABAJAMOS EN EL GRUPO ,QUE SI NO LES DIGO QUE AGAN ALGO NO ASE NADA  ,QUE PIENSE NO SEA CABESON ,QUE ELLOS NO ASEN NADA AUNQUE LES DIGA,54
3651,2/2/2015 12:52,2/2/2015 13:09,United States,Alexandria,VA,22301,ALEXANDRIA,Virginia,6,,Female,Black/African-American,It sold all it's products,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Capital.,All of the above.,Promote the product to your customers.,All of the above.,,3,5,5,4,5,4,4,4,4,1,4,4,5,5,3,5,TEAM WORK IS IMPORTANT BECAUSE YOU HAVE TO MAKE A PRODUCT AND YOU NEED A GROUP HELP YOU AND MAKE YOUR BUSINESS SUCCESSFUL. ,IT HELPS THE TEAM AND HOW YOUR BUSINESS TURNS OUT.,THAT IT TAKES TIME FOR YOU TO GET USE TO THE WORK YOU HAVE TO DO.,THAT YOU HAVE TO PAY ATTENTON,45
3652,2/2/2015 12:52,2/2/2015 13:09,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Female,Hispanic,It earned the most revenue during sales,Give the bank shares of stock.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,3,4,4,5,3,4,3,4,4,5,4,5,4,4,2,4,what i learned about team work is that not all the time you have to be mean sometime  you have to get along with others,yes i have to work but you also have to be a leader ,to listen and to pay attention this class is great,it is hard,72
3653,2/2/2015 12:52,2/2/2015 13:17,United States,Alexandria,VA,22301,Alexandria,Virginia,6,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Give the bank shares of stock.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,All of the above.,,5,4,3,5,4,4,4,4,4,5,4,3,5,4,4,5,that working together as a business is fun,leading is about the team,biz world is fun,it feels great ,63
3654,2/2/2015 12:52,2/2/2015 13:06,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Female,Hispanic,It sold all it's products,Give the bank shares of stock.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses + Profit = Revenue,Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,4,5,4,4,4,4,4,3,3,4,4,4,3,4,teamwork  is important to learn more about people ideas,leadership is important to real wide problem,it's important to be helpful to everyone,save some money,63
3655,2/2/2015 12:52,2/2/2015 13:05,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,4,4,5,4,4,5,5,5,4,4,4,5,5,4,i learned that if you work with others you will get your work done faster.,i learned that everyone should have a role in the thing there doing.,that  you need  to do teamwork and work with others,keeping money safe is hard you could loose it or someone could steal it,63
3656,2/2/2015 12:52,2/2/2015 13:04,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Female,Black/African-American,It sold all it's products,Just repay balance of the loan.,$4 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Capital.,All of the above.,Decide how the product will look.,All of the above.,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,teamwork is good,"leadership is great, the owner keeps the employe in ckeck",you should listen to the ceo,money is good you can help people who don't have,45
3657,2/2/2015 12:52,2/2/2015 13:08,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Male,Hispanic,It earned the most revenue during sales,Give the bank shares of stock.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Revenue.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,You to get in the same page,you need to be on people,yes because is good class,this is good ,36
3663,2/2/2015 13:01,2/2/2015 13:05,United States,Alexandria,VA,22301,alexandria,Virginia,6,,Male,Hispanic,It sold all it's products,Just pay interest on the loan.,$9 ,A promise to repay the loan plus interest.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,All of the above.,Decide how the product will look.,"The cost of the supplies to make the product, including operating costs for the business.",,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,work together,lead your team,difficult work,you need to know math,36
3664,2/4/2015 9:50,2/4/2015 10:09,United States,Auburn,AL,36830,Leeds,Alabama,4,,Female,Caucasian,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,5,3,5,3,5,3,4,5,5,4,5,5,5,5,That things don't always go you're way.,That some people don't take things sereously or listen to the plans.,Take control on what you're doing & don't get mad in the prossess.,That this will happen in the real world & to take it sereously.,63
3665,2/4/2015 9:51,2/4/2015 10:34,United States,Auburn,AL,36830,leeds,Alabama,4,,Female,Caucasian,It sold all it's products,Just pay interest on the loan.,$8 ,A promise to repay the loan plus interest.,All of the above.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Profit.,Help increase sales of your product.,Make the product quickly and with limited waste.,All of the above.,,4,3,4,5,4,5,2,3,3,5,4,4,4,4,3,4,you can do more things together and get it done faster.,it helps you get along with each other and you get the job done faster.,we would tell what were doing and how were sopeos to do the stuff.,you have to be smart and make sure you have it all.,27
